,Country or Area,Year,Value
59,Belarus,2014,94587.90276246
60,Belarus,2013,95363.611064766
61,Belarus,2012,94271.1569658992
62,Belarus,2011,93378.2734940134
63,Belarus,2010,93765.870462257
64,Belarus,2009,91458.3776153961
65,Belarus,2008,95568.2530417122
66,Belarus,2007,91742.3716970525
67,Belarus,2006,92216.0671930361
68,Belarus,2005,88283.0107482926
69,Belarus,2004,86915.9318924485
70,Belarus,2003,82103.5613452338
71,Belarus,2002,79935.9594634186
72,Belarus,2001,81242.6622045175
73,Belarus,2000,81240.870432977
74,Belarus,1999,82810.95958583901
75,Belarus,1998,86196.4448082329
76,Belarus,1997,89396.37052335529
77,Belarus,1996,85667.6886372585
78,Belarus,1995,83680.9970838297
79,Belarus,1994,91705.3271025991
80,Belarus,1993,107331.233943703
81,Belarus,1992,121000.13066380801
82,Belarus,1991,130877.612137488
83,Belarus,1990,139274.286473905
84,Belgium,2017,114539.90168583
85,Belgium,2016,115783.1773351
86,Belgium,2015,117122.08479424099
87,Belgium,2014,113505.967301877
88,Belgium,2013,119304.38396434301
89,Belgium,2012,119372.664891585
90,Belgium,2011,122198.356262845
91,Belgium,2010,132921.986175957
92,Belgium,2009,126262.686687931
93,Belgium,2008,138827.782299725
94,Belgium,2007,138960.919682924
95,Belgium,2006,142660.424402023
96,Belgium,2005,145283.841581003
97,Belgium,2004,149230.634026981
98,Belgium,2003,147932.26938169
99,Belgium,2002,147567.284195723
100,Belgium,2001,148131.890220995
101,Belgium,2000,149729.921792081
102,Belgium,1999,148644.593813474
103,Belgium,1998,154956.897507329
104,Belgium,1997,149781.669174165
105,Belgium,1996,158303.404525728
106,Belgium,1995,154665.230708266
107,Belgium,1994,152522.824534153
108,Belgium,1993,147890.396896217
109,Belgium,1992,148920.397683824
110,Belgium,1991,149323.541677736
111,Belgium,1990,146586.60682784198
112,Bulgaria,2017,61367.1644371524
113,Bulgaria,2016,59085.2184353746
114,Bulgaria,2015,61708.7020068857
115,Bulgaria,2014,58527.5928192881
116,Bulgaria,2013,55512.831864980195
117,Bulgaria,2012,60779.22883112769
118,Bulgaria,2011,65851.8979893724
119,Bulgaria,2010,60549.772395665
120,Bulgaria,2009,57970.042602300404
121,Bulgaria,2008,66953.7187656369
122,Bulgaria,2007,68359.1814823178
123,Bulgaria,2006,64485.1492892229
124,Bulgaria,2005,63906.7780678303
125,Bulgaria,2004,63341.6978133095
126,Bulgaria,2003,64192.909647484004
127,Bulgaria,2002,59718.2828800053
128,Bulgaria,2001,62677.5690148353
129,Bulgaria,2000,59566.5631681521
130,Bulgaria,1999,60690.1518292955
131,Bulgaria,1998,67934.0073183429
132,Bulgaria,1997,71788.0591710084
133,Bulgaria,1996,74771.2578272011
134,Bulgaria,1995,74605.7722488051
135,Bulgaria,1994,73099.2454592463
136,Bulgaria,1993,76758.8583198222
137,Bulgaria,1992,77785.627156819
138,Bulgaria,1991,83417.0494165274
139,Bulgaria,1990,101849.10725241901
140,Canada,2017,715749.23241154
141,Canada,2016,707727.165617479
142,Canada,2015,721992.0835573359
143,Canada,2014,723090.986330032
144,Canada,2013,722062.808064815
145,Canada,2012,711023.233137937
146,Canada,2011,703378.94918725
147,Canada,2010,692618.8533878829
148,Canada,2009,681699.295265029
149,Canada,2008,723225.103393441
150,Canada,2007,743766.909534822
151,Canada,2006,721444.528217199
152,Canada,2005,730349.4755675179
